locationUid,assetUid,timestamp,latitude,longitude,speed_unit,direction_unit,eventUid,pedestrian_count,pedestrian_speed,pedestrian_direction,pedestrian_counter_count,pedestrian_counter_speed,pedestrian_counter_direction
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318311132,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODMxMTEzMg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318341256,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODM0MTI1Ng==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318371447,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODM3MTQ0Nw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318401705,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODQwMTcwNQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318431896,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODQzMTg5Ng==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318462020,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODQ2MjAyMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318492144,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODQ5MjE0NA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318522335,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODUyMjMzNQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318552460,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODU1MjQ2MA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318582517,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODU4MjUxNw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318612642,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODYxMjY0Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318642699,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODY0MjY5OQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318672824,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODY3MjgyNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318702948,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODcwMjk0OA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318733339,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODczMzMzOQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318763397,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODc2MzM5Nw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318793721,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODc5MzcyMQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318823845,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODgyMzg0NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318854103,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODg1NDEwMw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318884227,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODg4NDIyNw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318914351,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODkxNDM1MQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318944408,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODk0NDQwOA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588318974466,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxODk3NDQ2Ng==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319004790,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTAwNDc5MA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319034915,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTAzNDkxNQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319065172,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTA2NTE3Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319095563,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTA5NTU2Mw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319125754,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTEyNTc1NA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319156012,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTE1NjAxMg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319186336,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTE4NjMzNg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319216527,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTIxNjUyNw==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319246651,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTI0NjY1MQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319276775,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTI3Njc3NQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319306900,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTMwNjkwMA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319337024,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTMzNzAyNA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319367082,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTM2NzA4Mg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319397406,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTM5NzQwNg==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319427464,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTQyNzQ2NA==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319457721,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTQ1NzcyMQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319487779,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTQ4Nzc3OQ==,0.0,0.0,66.0,0.0,0.0,66.0
872148fd,f958e0ba-0549-47dd-b649-bbb82dfbf07d,1588319518103,32.93620922,-117.2572871,METERS_PER_SEC,DEGREE,MTU4ODMxOTUxODEwMw==,0.0,0.0,66.0,0.0,0.0,66.0
